순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,줄거리,장르
1,겨울왕국,2014-01-16,82461504400,0.098,10296101,1010.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","얼어붙은 세상을 녹일 자매가 온다!

서로가 최고의 친구였던 자매 ‘엘사’와 ‘안나’. 하지만 언니 ‘엘사’에게는 하나뿐인 동생에게조차 말 못할 비밀이 있다. 모든 것을 얼려버리는 신비로운 힘이 바로 그것. ‘엘사’는 통제할 수 없는 자신의 힘이 두려워 왕국을 떠나고, 얼어버린 왕국의 저주를 풀기 위해 ‘안나’는 언니를 찾아 환상적인 여정을 떠나는데……","애니메이션,어드벤처,가족,코미디,뮤지컬,판타지"
2,인터스텔라,2014-11-06,80671448300,0.096,10105249,1342.0,미국,"미국,영국",워너브러더스 코리아(주),"“우린 답을 찾을 거야, 늘 그랬듯이”
세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다.
지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다.
이때 시공간에 불가사의한 틈이 열리고, 이를 탐험해 인류를 구해야 할 남은 자들에게 지워진다.
사랑하는 가족들을 뒤로 한 채 인류라는 더 큰 가족을 위해, 그들은 이제 희망을 찾아 우주로 간다.
그리고 우린 답을 찾을 것이다. 늘 그랬듯이…",SF
3,트랜스포머: 사라진 시대,2014-06-25,44012272845,0.052,5295801,1602.0,미국,미국,(주)씨제이이엔엠,"트랜스포머의 시대는 끝났다!

시카고에서 벌어진 오토봇과 디셉티콘의 전투로 인해
수많은 사상자가 발생하고 도시가 처참하게 파괴되자
정부는 일부 오토봇을 제외한 트랜스포머에 대해 체포령을 내린다.

시카고 사태, 3년 후
대부분의 디셉티콘이 처벌되고 오토봇 역시 모습을 감춘 상황,
엔지니어 ‘케이드 예거’(마크 월버그)는 우연히 폐기 직전 고물차로 변해있던 ‘옵티머스 프라임’을 깨우게 된다.
그리고 그의 생존이 알려지자
‘옵티머스 프라임’을 노리고 있던 어둠의 세력 역시 모습을 드러내기 시작한다.

전세계를 새로운 위협에 몰아넣을 거대한 음모,
사상 최대 가장 강력한 적에 맞서 ‘옵티머스 프라임’과 오토봇 군단은 목숨을 건 대결에 나서는데...!

인류의 미래가 걸린 위기,
전 세계를 파괴로 뒤덮을 거대한 전투가 펼쳐진다!","액션,SF,어드벤처"
4,엣지 오브 투모로우,2014-06-04,38731398201,0.046,4699208,801.0,미국,미국,워너브러더스 코리아(주),"가까운 미래, 미믹이라 불리는 외계 종족의 침략으로 인류는 멸망 위기를 맞는다. 빌 케이지 (크루즈)는 자살 작전이나 다름없는 작전에 훈련이나 장비를
제대로 갖추지 못한 상태로 배정되고 전투에 참여하자마자 죽음을 맞는다.
하지만 불가능한 일이 일어난다.
그가 다시 그 끔찍한 날이 시작된 시간에 다시 깨어나 다시 전투에 참여하게 되고
다시 죽었다가 또 다시 살아나는 것.
외계인과의 접촉으로 같은 시간대를 반복해서 겪게 되는
타임 루프에 갇히게 된 것이다.","액션,SF"
5,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766,0.041,4313871,1056.0,미국,미국,이십세기폭스코리아(주),"’엑스맨’ 군단 VS. 사상 최강의 적 ‘센티넬’!
사상 최강의 적이자 인류를 위협하는 강력한 로봇 ‘센티넬’로 인해 최악의 위기에 직면한 미래.
과거와 미래의 엑스맨들이 모두 모여 인류의 운명을 건 거대한 전쟁을 시작한다!","액션,판타지,SF,어드벤처"
6,어메이징 스파이더맨 2,2014-04-23,34869056800,0.042,4168350,1312.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"연습은 끝났다!
적이 강해진 만큼 그도 강해져야만 한다!
스파이더맨의 삶에 완전히 적응한 피터 파커(앤드류 가필드)는 거미줄로 뉴욕을 활강하며 위험에 처한 시민들을 구해주고 사랑하는 연인 그웬(엠마 스톤)과 데이트를 즐기며 행복하게 살아간다. 그러던 어느 날, 스파이더맨의 열렬한 팬이자 오스코프사의 전기 엔지니어인 맥스(제이미 폭스)는 작업 중 치명적인 사고로 자신에게 엄청난 능력이 생긴 것을 발견한다. 하지만 이 능력으로 인해 뉴욕을 마비시킨 대규모 정전사태가 발생하고 사태를 해결하기 위해 나선 자신의 영웅 스파이더맨에게 공격을 당하자 배신감을 느끼고 분노한다. 여기에 해리 오스본(데인 드한)은 맥스에게 자신과 함께 스파이더맨에게 복수를 하자며 손을 내미는데…
더욱 강력해진 적들의 등장! 진짜 전쟁은 지금부터다!","액션,판타지"
7,혹성탈출: 반격의 서막,2014-07-10,31514053095,0.038,4002560,922.0,미국,미국,이십세기폭스코리아(주),"진화한 유인원 Vs. 멸종 위기의 인류
평화는 깨졌다!

치명적인 바이러스 그 후 10년, 시저가 이끄는 진화한 유인원들은 자신들의 삶의 터전을 만들고 평화롭게 살아간다. 한편, 바이러스로부터 살아남은 극소수의 인간들은 멸종 위기와 가족을 잃은 고통 속에서 살아간다. 서로의 존재를 잊고 있던 두 종족은 우연히 다시 마주치게 되고, 피할 수 없는 상황 속에서 생존을 건 전쟁을 시작하게 되는데…","액션,드라마,SF,스릴러"
8,캡틴 아메리카: 윈터 솔져,2014-03-26,31710585385,0.038,3963220,1106.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","어벤져스의 뉴욕 사건 이후 닉 퓨리, 블랙 위도우와 함께 쉴드의 멤버로 현대 생활에 적응해 살아가는 캡틴 아메리카.
어느 날, 죽은 줄 알았던 친구 버키가 적 윈터 솔져가 되어 돌아오고, 어벤져스를 향한 최악의 위기가 시작된다.","액션,어드벤처,SF"
9,비긴 어게인,2014-08-13,27098834504,0.032,3427524,213.0,미국,미국,판씨네마(주),"“다시 시작해, 너를 빛나게 할 노래를!”

싱어송라이터인 ‘그레타’(키이라 나이틀리)는
남자친구 ‘데이브’(애덤 리바인)가 메이저 음반회사와 계약을 하게 되면서 뉴욕으로 오게 된다.
그러나 행복도 잠시, 오랜 연인이자 음악적 파트너로서 함께 노래를 만들고 부르는 것이 좋았던 그레타와 달리
스타가 된 데이브의 마음은 어느새 변해버린다.

스타 음반프로듀서였지만 이제는 해고된 ‘댄’(마크 러팔로)은
미치기 일보직전 들른 뮤직바에서 그레타의 자작곡을 듣게 되고 아직 녹슬지 않은 촉을 살려 음반제작을 제안한다.
거리 밴드를 결성한 그들은 뉴욕의 거리를 스튜디오 삼아 진짜로 부르고 싶었던 노래를 만들어가는데…",멜로/로맨스
10,드래곤 길들이기 2,2014-07-23,23979935189,0.029,3000056,829.0,미국,미국,(주)씨제이이엔엠,"더 높이, 더 멀리, 더 힘차게!
우리의 진짜 모험은 지금부터다!
바이킹과 드래곤이 친구가 되어 평화롭게 살아가는 버크섬.
청년이 된 히컵은 아버지 스토이크의 바람과는 달리
족장이 되는 것 보다 버크섬 밖의 더 넓은 세상을 보고 싶어한다.

그러던 어느 날, 신비로운 얼음대륙을 탐험하던 히컵과 투슬리스는
드래곤 사냥꾼들이 쳐놓은 덫에 걸리고,
드래곤들을 위협하는 강력한 어둠의 존재에 대해 알게 된다.
히컵과 투슬리스는 드래곤들의 평화를 위해
의문의 드래곤 군단과 맞서기로 결심하는데…","애니메이션,액션,어드벤처"
