순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,어벤져스: 엔드게임,2019-04-24,122182694160 ,0.131,13934592,2835,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,겨울왕국 2,2019-11-21,111596248720 ,0.119,13369064,2648,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,알라딘,2019-05-23,106955138359 ,0.115,12552283,1311,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,스파이더맨: 파 프롬 홈,2019-07-02,69009271100 ,0.074,8021064,2142,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
5,캡틴 마블,2019-03-06,51491272223 ,0.055,5801069,2100,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,조커,2019-10-02,45381075450 ,0.049,5247874,1418,미국,미국,워너브러더스 코리아(주)
7,라이온 킹,2019-07-17,41518977430 ,0.044,4743184,1936,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,분노의 질주: 홉스&쇼,2019-08-14,32241767793 ,0.035,3657536,1311,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
9,토이 스토리 4,2019-06-20,28757726040 ,0.031,3399913,1336,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,터미네이터: 다크 페이트,2019-10-30,20153895830 ,0.022,2409062,1315,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
11,알리타: 배틀 엔젤,2019-02-05,18569763667 ,0.02,1951889,1043,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
12,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,13877029723 ,0.015,1754375,1453,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
13,아쿠아맨,2018-12-19,13659164323 ,0.015,1546277,1285,미국,"미국,호주",워너브러더스 코리아(주)
14,드래곤 길들이기 3,2019-01-30,12340610576 ,0.013,1506942,971,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
15,어스,2019-03-27,12586771104 ,0.013,1475087,1132,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
16,말레피센트 2,2019-10-17,12191395690 ,0.013,1444952,1108,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
17,포드 V 페라리,2019-12-04,10612013680 ,0.011,1208407,986,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
18,마이펫의 이중생활 2,2019-07-31,8512902825 ,0.009,1114949,933,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
19,쥬만지: 넥스트 레벨,2019-12-11,8774663410 ,0.009,1054963,1195,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20,존 윅 3: 파라벨룸,2019-06-26,8204889876 ,0.009,1004347,849,미국,미국,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
21,엑스맨: 다크 피닉스,2019-06-05,7649216640 ,0.008,862744,991,미국,미국,이십세기폭스코리아(주)
22,맨 인 블랙: 인터내셔널,2019-06-12,7455439570 ,0.008,851040,1151,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
23,캣츠,2019-12-24,6093167690 ,0.007,728328,1143,미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
24,보헤미안 랩소디,2018-10-31,6270535440 ,0.007,723804,936,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
25,명탐정 피카츄,2019-05-09,5730788546 ,0.006,686809,817,미국,미국,워너브러더스 코리아(주)
26,나이브스 아웃,2019-12-04,5648860210 ,0.006,667411,686,미국,미국,(주)올스타엔터테인먼트
27,샤잠!,2019-04-03,5743398797 ,0.006,657294,1148,미국,미국,워너브러더스 코리아(주)
28,날씨의 아이,2019-10-30,5413288410 ,0.006,655876,716,일본,일본,"플러스엠 엔터테인먼트,(주)미디어캐슬,워터홀컴퍼니(주)"
29,그것: 두 번째 이야기,2019-09-04,5112010367 ,0.005,591346,999,미국,미국,워너브러더스 코리아(주)
30,이스케이프 룸,2019-03-14,5007420664 ,0.005,563114,850,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
31,애드 아스트라,2019-09-19,4518393460 ,0.005,513375,853,미국,미국,이십세기폭스코리아(주)
32,47미터 2,2019-08-28,3846315153 ,0.004,501934,649,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
33,애나벨 집으로,2019-06-26,3993147140 ,0.004,481766,653,미국,미국,워너브러더스 코리아(주)
34,글래스,2019-01-17,4277452982 ,0.005,466475,837,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
35,그린 북,2019-01-09,3603268560 ,0.004,429733,398,미국,미국,CGV아트하우스
36,장난스런 키스,2019-03-27,3501463050 ,0.004,428009,532,대만,대만,"오드,(주)홈초이스"
37,해피 데스데이 2 유,2019-02-14,3437809200 ,0.004,412850,657,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
38,범블비,2018-12-25,3334865955 ,0.004,394493,1016,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
39,제미니 맨,2019-10-09,3295969230 ,0.004,387342,845,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
40,고질라: 킹 오브 몬스터,2019-05-29,3085036318 ,0.003,359041,923,미국,미국,워너브러더스 코리아(주)
41,덤보,2019-03-27,2775096512 ,0.003,345521,797,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
42,아담스 패밀리,2019-11-07,2636891140 ,0.003,329955,802,미국,"미국,영국,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
43,헬보이,2019-04-10,2776406321 ,0.003,323098,726,미국,미국,플러스엠 엔터테인먼트
44,예스터데이,2019-09-18,2580213100 ,0.003,306332,816,미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
45,천로역정: 천국을 찾아서,2019-06-13,2202838010 ,0.002,296588,381,미국,미국,"(재)CBS,주식회사 마운틴픽쳐스"
46,신데렐라:마법 반지의 비밀,2019-02-20,2113630240 ,0.002,284755,575,미국,미국,예지림엔터테인먼트
47,원스 어폰 어 타임... 인 할리우드,2019-09-25,2269807670 ,0.002,277319,678,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
48,라스트 크리스마스,2019-12-05,2058391130 ,0.002,249323,623,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
49,메리 포핀스 리턴즈,2019-02-14,1816281960 ,0.002,224160,573,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
50,명탐정 코난: 감청의 권,2019-07-24,1740310530 ,0.002,219078,602,일본,일본,(주)씨제이이엔엠
51,커런트 워,2019-08-22,1817540600 ,0.002,210945,276,미국,미국,(주)이수C&E
52,요로나의 저주,2019-04-17,1784935221 ,0.002,202756,620,미국,미국,워너브러더스 코리아(주)
53,롱 샷,2019-07-24,1677753797 ,0.002,191122,454,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
54,앵그리 버드 2: 독수리 왕국의 침공,2019-08-07,1437751073 ,0.002,188987,512,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
55,엔젤 해즈 폴른,2019-11-13,1479789022 ,0.002,181400,601,미국,미국,플러스엠 엔터테인먼트
56,더 페이버릿: 여왕의 여자,2019-02-21,1380191276 ,0.001,164372,83,미국,미국,"이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사"
57,눈의 여왕4,2019-12-24,1044574960 ,0.001,143853,541,러시아,러시아,(주)넥스트엔터테인먼트월드(NEW)
58,가버나움,2019-01-24,1182486219 ,0.001,142622,111,기타,기타,"그린나래미디어(주),플레이리스트(주)"
59,크롤,2019-11-27,1126287080 ,0.001,140336,612,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
60,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,1094031140 ,0.001,138118,561,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
61,좀비랜드: 더블 탭,2019-11-13,1176173880 ,0.001,136869,585,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
62,바이스,2019-04-11,1158371984 ,0.001,136483,241,미국,미국,(주)콘텐츠판다
63,미드웨이,2019-12-31,1085659520 ,0.001,133373,842,미국,미국,(주)누리픽쳐스
64,프린스 코기,2019-12-24,1028933300 ,0.001,132958,455,벨기에,벨기에,(주)이수C&E
65,명탐정 코난:전율의 악보,2019-02-14,890692400 ,0.001,116059,213,일본,일본,(주)씨제이이엔엠
66,안나,2019-08-28,946058240 ,0.001,114796,431,프랑스,프랑스,판씨네마(주)
67,로켓맨,2019-06-05,922598063 ,0.001,107235,640,영국,"영국,미국",롯데컬처웍스(주)롯데엔터테인먼트
68,미래의 미라이,2019-01-16,850022957 ,0.001,104950,508,일본,일본,플러스엠 엔터테인먼트
69,람보 : 라스트 워,2019-10-23,800099140 ,0.001,103199,483,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
70,공포의 묘지,2019-04-10,894409836 ,0.001,102826,564,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
71,원더랜드,2019-08-14,766608510 ,0.001,102715,404,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
72,콜드 체이싱,2019-02-20,777401607 ,0.001,101694,480,영국,영국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
73,라스트 미션,2019-03-14,837108639 ,0.001,101465,472,미국,미국,워너브러더스 코리아(주)
74,파이브 피트,2019-04-10,857897420 ,0.001,98661,457,미국,미국,"(주)누리픽쳐스,(주)케이티알파"
75,소피와 드래곤: 마법책의 비밀,2019-10-02,752417350 ,0.001,96807,469,러시아,러시아,(주)씨제이이엔엠
76,아이 엠 마더,2019-04-11,774580700 ,0.001,94119,213,미국,미국,"(주)삼백상회,(주)팬엔터테인먼트"
77,러브 앳,2019-11-27,745125500 ,0.001,93085,153,프랑스,"프랑스,벨기에",(주)크리픽쳐스
78,구스 베이비,2019-01-16,652090360 ,0.001,91430,424,미국,미국,(주)이수C&E
79,더 보이,2019-05-23,776591970 ,0.001,89429,509,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
80,레고 무비2,2019-02-06,682894040 ,0.001,88392,442,미국,"미국,덴마크,캐나다,노르웨이,호주",워너브러더스 코리아(주)
81,미드소마,2019-07-11,800891816 ,0.001,88055,388,미국,미국,(주)팝엔터테인먼트
