순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,서울의 봄,2023-11-22,115350969010 ,0.194,11854811,2328,한국,한국,플러스엠 엔터테인먼트
2,범죄도시3,2023-05-31,104687737771 ,0.176,10682813,2582,한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
3,밀수,2023-07-26,49685009003 ,0.083,5143219,1932,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
4,콘크리트 유토피아,2023-08-09,37412802232 ,0.063,3849242,1731,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
5,노량: 죽음의 바다,2023-12-20,34030546492 ,0.057,3437833,2196,한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스"
6,30일,2023-10-03,21256881514 ,0.036,2165358,1226,한국,한국,(주)마인드마크
7,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,18635492555 ,0.031,1916429,1511,한국,한국,(주)씨제이이엔엠
8,영웅,2022-12-21,17759190427 ,0.03,1786092,1314,한국,한국,(주)씨제이이엔엠
9,교섭,2023-01-18,17460908740 ,0.029,1721100,1289,한국,한국,플러스엠 엔터테인먼트
10,잠,2023-09-06,13894258933 ,0.023,1470359,1231,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
11,달짝지근해: 7510,2023-08-15,13445519901 ,0.023,1388309,884,한국,한국,(주)마인드마크
12,드림,2023-04-26,10818979597 ,0.018,1128080,1285,한국,한국,플러스엠 엔터테인먼트
13,비공식작전,2023-08-02,10192141216 ,0.017,1058645,1151,한국,한국,(주)쇼박스
14,1947 보스톤,2023-09-27,9464164798 ,0.016,1026882,1282,한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트"
15,대외비,2023-03-01,7469378721 ,0.013,756355,1157,한국,한국,플러스엠 엔터테인먼트
16,리바운드,2023-04-05,6698218348 ,0.011,698748,1154,한국,한국,(주)바른손이앤에이
17,귀공자,2023-06-21,6703071465 ,0.011,682742,966,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
18,유령,2023-01-18,6760765879 ,0.011,664146,1099,한국,한국,(주)씨제이이엔엠
19,더 문,2023-08-02,5203932778 ,0.009,515996,1187,한국,한국,(주)씨제이이엔엠
20,3일의 휴가,2023-12-06,4835191189 ,0.008,514551,863,한국,한국,(주)쇼박스
21,소년들,2023-11-01,4470423586 ,0.008,471425,1042,한국,한국,(주)씨제이이엔엠
22,타겟,2023-08-30,4003424694 ,0.007,424916,986,한국,한국,플러스엠 엔터테인먼트
23,싱글 인 서울,2023-11-29,3738633028 ,0.006,399575,917,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
24,스위치,2023-01-04,3793820810 ,0.006,399162,912,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
25,카운트,2023-02-22,3772828091 ,0.006,397303,946,한국,한국,(주)씨제이이엔엠
26,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,2933356296 ,0.005,321203,850,한국,한국,씨제이 씨지브이(CJ CGV)(주)
27,웅남이,2023-03-22,2867713071 ,0.005,314152,829,한국,한국,씨제이 씨지브이(CJ CGV)(주)
